input           | target          | cbow_exp_soft0  <-> cbow_exp_lstm0  || best model: 0:first, 1:second
<UNK>           | lenen           | 9.77938461304   <-> 9.80561065674   || 0
lenen           | en              | 3.6011967659    <-> 3.56614851952   || 1
en              | won             | 7.46591997147   <-> 7.30605554581   || 1
won             | tot             | 4.73551845551   <-> 4.71798801422   || 1
tot             | <UNK>           | 3.70314407349   <-> 3.83136582375   || 0
<UNK>           | verbijstering   | 12.512046814    <-> 12.9434375763   || 0
verbijstering   | het             | 5.94829654694   <-> 5.36698055267   || 1
het             | toernooi        | 7.95999908447   <-> 7.31835031509   || 1
toernooi        | </s>            | 2.09374761581   <-> 1.38844025135   || 1
<s>             | John            | 8.59737968445   <-> 7.79213571548   || 1
John            | wie             | 11.4339675903   <-> 11.7785215378   || 0
wie             | zonder          | 7.03077697754   <-> 7.30396604538   || 0
zonder          | zonde           | 11.0529241562   <-> 11.590965271    || 0
zonde           | is              | 2.48025774956   <-> 2.47589254379   || 1
is              | <UNK>           | 4.25574302673   <-> 4.53680706024   || 0
<UNK>           | de              | 3.10065579414   <-> 2.43705773354   || 1
de              | eerste          | 4.01656627655   <-> 3.61922359467   || 1
eerste          | steen           | 7.33267498016   <-> 7.57408809662   || 0
steen           | raakte          | 11.3552284241   <-> 9.67782306671   || 1
raakte          | daarna          | 7.4653840065    <-> 7.60120391846   || 0
daarna          | aan             | 4.68274402618   <-> 4.56588363647   || 1
aan             | de              | 0.907727241516  <-> 1.06242418289   || 0
de              | drank           | 8.47234153748   <-> 9.06476211548   || 0
drank           | </s>            | 1.27198565006   <-> 0.890664279461  || 1
<s>             | hij             | 3.29211616516   <-> 3.40046787262   || 0
hij             | stelde          | 5.97920513153   <-> 6.06979751587   || 0
stelde          | zich            | 3.62274885178   <-> 3.63162541389   || 0
zich            | gewelddadig     | 12.0696687698   <-> 12.2510318756   || 0
gewelddadig     | op              | 2.43836116791   <-> 2.53076863289   || 0
op              | tegen           | 5.06475543976   <-> 5.13995742798   || 0
tegen           | zijn            | 3.22670698166   <-> 3.43900918961   || 0
zijn            | eerste          | 4.57175970078   <-> 4.3353562355    || 1
eerste          | vervolgens      | 12.2411613464   <-> 12.7590837479   || 0
vervolgens      | tegen           | 4.68267679214   <-> 5.62118244171   || 0
tegen           | zijn            | 3.3407702446    <-> 3.56356167793   || 0
zijn            | tweede          | 4.8985786438    <-> 5.35180473328   || 0
tweede          | en              | 4.55265712738   <-> 5.10286235809   || 0
en              | tenslotte       | 10.8605680466   <-> 11.1952266693   || 0
tenslotte       | tegen           | 5.6659655571    <-> 6.18939113617   || 0
tegen           | zijn            | 3.39457511902   <-> 3.43627476692   || 0
zijn            | derde           | 5.45355463028   <-> 6.39312744141   || 0
derde           | echtgenote      | 8.43217182159   <-> 7.07763814926   || 1
echtgenote      | volgde          | 10.8350400925   <-> 11.2633695602   || 0
volgde          | een             | 3.19699001312   <-> 3.02175450325   || 1
een             | <UNK>           | 2.01839113235   <-> 2.01196360588   || 1
