input           | target          | cbow_exp_soft0  <-> cbow_exp_lstm0  || best model: 0:first, 1:second
een             | karretje        | 10.1277179718   <-> 10.5628738403   || 0
karretje        | door            | 5.73101711273   <-> 5.5275144577    || 1
door            | de              | 1.80456256866   <-> 1.35881948471   || 1
de              | toernooien      | 12.6257772446   <-> 12.8258991241   || 0
toernooien      | van             | 3.029099226     <-> 2.24006414413   || 1
van             | de              | 1.20194649696   <-> 0.985965907574  || 1
de              | Europese        | 5.11748838425   <-> 5.12562656403   || 0
Europese        | <UNK>           | 2.08172750473   <-> 2.20466566086   || 0
<UNK>           | te              | 0.834179759026  <-> 1.12996196747   || 0
te              | verplaatsen     | 5.89679670334   <-> 6.31547927856   || 0
verplaatsen     | </s>            | 0.269338905811  <-> 0.305763810873  || 0
<s>             | wat             | 5.35793495178   <-> 5.54984331131   || 0
wat             | hij             | 4.03202438354   <-> 4.63297271729   || 0
hij             | wel             | 5.76000642776   <-> 5.50471115112   || 1
wel             | kreeg           | 7.05566596985   <-> 6.64141511917   || 1
kreeg           | was             | 3.79549336433   <-> 4.18630743027   || 0
was             | een             | 2.20567250252   <-> 2.43075203896   || 0
een             | aanval          | 7.03952026367   <-> 7.42628479004   || 0
aanval          | van             | 2.47765755653   <-> 2.72138786316   || 0
van             | artritis        | 12.8580293655   <-> 13.1424779892   || 0
artritis        | een             | 4.86738348007   <-> 4.60033273697   || 1
een             | aanzet          | 9.4170923233    <-> 9.87805080414   || 0
aanzet          | tot             | 1.50617039204   <-> 1.79024505615   || 0
tot             | <UNK>           | 3.4359536171    <-> 2.54544186592   || 1
<UNK>           | een             | 4.57633924484   <-> 5.13026428223   || 0
een             | depressie       | 8.33491706848   <-> 8.69882202148   || 0
depressie       | en              | 2.60403561592   <-> 2.7900633812    || 0
en              | een             | 2.32089352608   <-> 2.33898043633   || 0
een             | plaatsje        | 8.49184036255   <-> 7.87164402008   || 1
plaatsje        | in              | 2.26373624802   <-> 2.1460750103    || 1
in              | de              | 1.22090053558   <-> 1.11914992332   || 1
de              | grauwe          | 9.51379394531   <-> 9.37323188782   || 1
grauwe          | middenmoot      | 8.46608257294   <-> 8.93407154083   || 0
middenmoot      | </s>            | 0.438457012177  <-> 0.545833826065  || 0
<s>             | dat             | 4.05102729797   <-> 4.0351600647    || 1
dat             | stelde          | 7.50913476944   <-> 7.76364612579   || 0
stelde          | een             | 2.61565566063   <-> 2.79691696167   || 0
een             | extra           | 6.87128543854   <-> 7.17440223694   || 0
extra           | probleem        | 7.12086296082   <-> 7.23523139954   || 0
probleem        | voor            | 2.62968564034   <-> 2.71959972382   || 0
voor            | zijn            | 3.89914464951   <-> 3.80883479118   || 1
zijn            | landgenoot      | 8.09468746185   <-> 7.93185901642   || 1
landgenoot      | <UNK>           | 2.66085290909   <-> 2.88559627533   || 0
<UNK>           | <UNK>           | 1.62885272503   <-> 2.010658741     || 0
<UNK>           | die             | 3.44742488861   <-> 4.0580573082    || 0
die             | twee            | 6.10613441467   <-> 4.84195423126   || 1
twee            | jaar            | 1.99315989017   <-> 1.33945429325   || 1
jaar            | geleden         | 0.500781536102  <-> 1.27884864807   || 0
geleden         | captain         | 15.3670320511   <-> 15.2503795624   || 1
captain         | was             | 3.31476521492   <-> 3.34445047379   || 0
was             | van             | 3.26521444321   <-> 3.23046731949   || 1
van             | de              | 1.06220436096   <-> 1.17193520069   || 0
de              | Europese        | 4.86343288422   <-> 4.89438772202   || 0
Europese        | ploeg           | 5.25399017334   <-> 4.25476551056   || 1
ploeg           | voor            | 4.02476596832   <-> 4.19811677933   || 0
voor            | de              | 1.05834233761   <-> 1.04458761215   || 1
de              | Ryder           | 13.1490278244   <-> 12.6224298477   || 1
Ryder           | Cup             | 1.4510859251    <-> 2.47496962547   || 0
Cup             | de              | 4.5835018158    <-> 4.65820026398   || 0
de              | tweejaarlijkse  | 9.95055961609   <-> 9.83135604858   || 1
tweejaarlijkse  | ontmoeting      | 8.89985084534   <-> 9.00100231171   || 0
ontmoeting      | tussen          | 2.16470813751   <-> 1.93367922306   || 1
tussen          | Amerika         | 8.35631656647   <-> 7.74688577652   || 1
Amerika         | en              | 0.684184551239  <-> 0.905164241791  || 0
en              | Europa          | 4.8818564415    <-> 5.42327785492   || 0
Europa          | </s>            | 0.521666824818  <-> 0.302229493856  || 1
<s>             | met             | 4.88050985336   <-> 4.61758041382   || 1
met             | voorsprong      | 10.5577878952   <-> 10.3992242813   || 1
voorsprong      | het             | 5.62976646423   <-> 6.49526691437   || 0
het             | belangrijkste   | 5.37601327896   <-> 6.08650302887   || 0
belangrijkste   | toernooi        | 8.63606929779   <-> 8.83493041992   || 0
toernooi        | in              | 2.59832978249   <-> 2.77372121811   || 0
in              | het             | 2.45691585541   <-> 2.28227996826   || 1
het             | internationale  | 6.568400383     <-> 6.83754730225   || 0
internationale  | golf            | 10.6085519791   <-> 11.2681102753   || 0
golf            | </s>            | 2.3540802002    <-> 2.65001702309   || 0
<s>             | er              | 4.65542554855   <-> 4.81807947159   || 0
er              | wordt           | 2.81075763702   <-> 2.79669332504   || 1
wordt           | wisselend       | 9.58676052094   <-> 12.4060726166   || 0
wisselend       | gespeeld        | 6.70134878159   <-> 6.78110837936   || 0
gespeeld        | in              | 2.26899576187   <-> 2.26138496399   || 1
in              | Europa          | 4.32817459106   <-> 4.57285690308   || 0
Europa          | en              | 1.9017983675    <-> 2.27902078629   || 0
en              | Amerika         | 6.15443515778   <-> 7.27482795715   || 0
Amerika         | </s>            | 0.728661060333  <-> 1.4607732296    || 0
<s>             | in              | 3.15780854225   <-> 3.17211771011   || 0
in              | Europa          | 2.49155449867   <-> 4.26044464111   || 0
Europa          | is              | 2.23112773895   <-> 2.18184280396   || 1
is              | het             | 1.78368544579   <-> 1.67959618568   || 1
het             | altijd          | 5.91083621979   <-> 6.62537336349   || 0
altijd          | in              | 3.26144766808   <-> 3.46842479706   || 0
in              | </s>            | 6.58845806122   <-> 6.06728649139   || 1
<s>             | Groot-Brittannië | 7.31280851364   <-> 8.59861850739   || 0
Groot-Brittannië | te              | 7.54683494568   <-> 6.87972974777   || 1
te              | doen            | 4.83947467804   <-> 4.43118572235   || 1
doen            | behalve         | 9.04880046844   <-> 9.14886665344   || 0
behalve         | twee            | 6.09343481064   <-> 5.7480597496    || 1
twee            | jaar            | 2.93769526482   <-> 3.14887094498   || 0
jaar            | geleden         | 0.966264128685  <-> 1.0060069561    || 0
geleden         | </s>            | 2.23533272743   <-> 3.46890926361   || 0
<s>             | toen            | 4.84926605225   <-> 5.55241107941   || 0
toen            | werd            | 4.83704090118   <-> 4.7395734787    || 1
werd            | voor            | 5.56545829773   <-> 5.48983478546   || 1
voor            | het             | 2.1371948719    <-> 2.22053146362   || 0
het             | eerst           | 0.474279403687  <-> 2.04526638985   || 0
eerst           | een             | 2.0240457058    <-> 2.33117961884   || 0
een             | uitzondering    | 7.53756952286   <-> 6.99745416641   || 1
uitzondering    | gemaakt         | 4.14523124695   <-> 4.3147983551    || 0
gemaakt         | en              | 2.99750137329   <-> 3.31536149979   || 0
en              | had             | 5.25950145721   <-> 5.10792779922   || 1
had             | de              | 1.92548632622   <-> 1.52480792999   || 1
de              | Ryder           | 12.8385715485   <-> 12.7795181274   || 1
Ryder           | Cup             | 5.19310092926   <-> 5.42775726318   || 0
Cup             | plaats          | 8.09437179565   <-> 7.14105129242   || 1
plaats          | op              | 3.25118374825   <-> 3.30557274818   || 0
op              | de              | 1.09316420555   <-> 1.34231710434   || 0
de              | baan            | 6.73937606812   <-> 6.72313594818   || 1
baan            | van             | 1.85116028786   <-> 1.70476102829   || 1
van             | </s>            | 6.17867612839   <-> 6.55665826797   || 0
<s>             | bij             | 4.91232538223   <-> 4.92500257492   || 0
bij             | <UNK>           | 2.88807535172   <-> 3.26877975464   || 0
<UNK>           | in              | 3.74276852608   <-> 3.65888524055   || 1
in              | de              | 1.32953453064   <-> 1.29635858536   || 1
de              | achtertuin      | 9.46596336365   <-> 10.0376319885   || 0
achtertuin      | </s>            | 2.92137718201   <-> 3.04978108406   || 0
<s>             | <UNK>           | 3.0569126606    <-> 3.00121760368   || 1
<UNK>           | in              | 3.77654075623   <-> 3.76005744934   || 1
in              | het             | 2.31471967697   <-> 2.29449462891   || 1
het             | team            | 7.42888593674   <-> 6.9267373085    || 1
team            | of              | 6.13085651398   <-> 6.37670946121   || 0
of              | niet            | 5.63989543915   <-> 5.7964053154    || 0
niet            | dat             | 4.08118057251   <-> 3.8435921669    || 1
dat             | scheelde        | 11.824180603    <-> 11.1609506607   || 1
scheelde        | een             | 2.89300966263   <-> 2.755402565     || 1
een             | slok            | 9.2957611084    <-> 9.33529281616   || 0
slok            | op              | 3.04975986481   <-> 2.47718954086   || 1
op              | de              | 1.43965697289   <-> 1.26743853092   || 1
de              | borrel          | 8.32943630219   <-> 8.73706054688   || 0
borrel          | voor            | 4.36825942993   <-> 3.99204564095   || 1
voor            | de              | 1.27937352657   <-> 1.25345039368   || 1
de              | publieke        | 7.61857891083   <-> 8.29542160034   || 0
publieke        | belangstelling  | 6.64169549942   <-> 6.85105466843   || 0
belangstelling  | en              | 3.22693014145   <-> 3.14093995094   || 1
en              | de              | 1.99759292603   <-> 1.58719003201   || 1
de              | <UNK>           | 2.03694295883   <-> 1.67398154736   || 1
<UNK>           | </s>            | 1.68582618237   <-> 1.21473777294   || 1
<s>             | zeker           | 7.36964607239   <-> 7.31873321533   || 1
zeker           | omdat           | 5.10565185547   <-> 5.38635063171   || 0
