input           | target          | original0       <-> cbow_exp_soft0  || best model: 0:first, 1:second
aan             | zijn            | 3.36362934113   <-> 3.49308037758   || 0
zijn            | <UNK>           | 2.08282542229   <-> 2.30712080002   || 0
<UNK>           | vroeg           | 8.59753513336   <-> 7.66715335846   || 1
vroeg           | </s>            | 2.62732577324   <-> 2.00781464577   || 1
<s>             | heb             | 9.26512145996   <-> 8.95857620239   || 1
heb             | ik              | 0.816192686558  <-> 0.910481333733  || 0
ik              | een             | 2.44790554047   <-> 2.49654769897   || 0
een             | shot            | 10.3662452698   <-> 10.4680261612   || 0
shot            | naar            | 5.93687915802   <-> 5.76470375061   || 1
naar            | de              | 1.60267114639   <-> 1.5014295578    || 1
de              | green           | 12.1746559143   <-> 11.5309448242   || 1
green           | </s>            | 3.13694477081   <-> 2.98231196404   || 1
<s>             | antwoordde      | 11.2398490906   <-> 10.5127086639   || 1
antwoordde      | die             | 5.2583026886    <-> 5.49067354202   || 0
die             | </s>            | 5.09124422073   <-> 4.58047962189   || 1
<s>             | meer            | 6.95656681061   <-> 7.13101911545   || 0
meer            | dan             | 1.33448767662   <-> 0.770677447319  || 1
dan             | één           | 4.18430948257   <-> 4.88758802414   || 0
één           | zelfs           | 9.08692550659   <-> 10.3911027908   || 0
zelfs           | </s>            | 3.41484355927   <-> 3.82415771484   || 0
<s>             | <UNK>           | 3.099173069     <-> 3.21375751495   || 0
<UNK>           | dat             | 5.36815214157   <-> 5.37576293945   || 0
dat             | is              | 3.22558927536   <-> 3.97925519943   || 0
is              | op              | 4.37382173538   <-> 4.27374649048   || 1
op              | <UNK>           | 3.45521473885   <-> 4.18227052689   || 0
<UNK>           | alles           | 7.31991481781   <-> 7.41380596161   || 0
alles           | wat             | 4.43027114868   <-> 5.10542011261   || 0
wat             | buiten          | 8.33837795258   <-> 8.14536857605   || 1
buiten          | de              | 1.29221463203   <-> 1.6966137886    || 0
de              | green           | 12.2981491089   <-> 12.7796945572   || 0
green           | ligt            | 7.91695070267   <-> 6.4065489769    || 1
ligt            | </s>            | 0.823407590389  <-> 0.770056068897  || 1
<s>             | naar            | 6.81328964233   <-> 7.45960378647   || 0
naar            | de              | 1.19685351849   <-> 1.20621156693   || 0
de              | normen          | 8.98122024536   <-> 6.97064208984   || 1
normen          | van             | 1.09485566616   <-> 0.914885640144  || 1
van             | de              | 1.21581041813   <-> 1.09142267704   || 1
de              | <UNK>           | 1.54997014999   <-> 1.87153279781   || 0
<UNK>           | Amerikaanse     | 9.87573814392   <-> 10.5603628159   || 0
Amerikaanse     | banen           | 9.49955749512   <-> 10.4807605743   || 0
banen           | zijn            | 3.32066273689   <-> 3.79489374161   || 0
zijn            | zelfs           | 6.03791046143   <-> 6.27845287323   || 0
zelfs           | de              | 2.17212367058   <-> 2.14538025856   || 1
de              | <UNK>           | 1.8680485487    <-> 2.5654258728    || 0
<UNK>           | op              | 3.87550354004   <-> 4.11084079742   || 0
op              | <UNK>           | 3.01342463493   <-> 3.69005870819   || 0
<UNK>           | te              | 4.40148258209   <-> 4.16950559616   || 1
te              | <UNK>           | 3.47642230988   <-> 5.03884506226   || 0
<UNK>           | als             | 4.58303785324   <-> 4.78005361557   || 0
als             | <UNK>           | 2.12412333488   <-> 2.69717788696   || 0
<UNK>           | </s>            | 1.79665637016   <-> 1.498467803     || 1
<s>             | <UNK>           | 3.069054842     <-> 3.2466711998    || 0
<UNK>           | zijn            | 4.11580944061   <-> 4.41840553284   || 0
zijn            | er              | 2.98498010635   <-> 2.47610640526   || 1
er              | niet            | 2.68045186996   <-> 2.28202342987   || 1
niet            | </s>            | 3.45383620262   <-> 3.27505517006   || 1
<s>             | wat             | 5.26495742798   <-> 4.895008564     || 1
wat             | ons             | 6.67902040482   <-> 7.32459545135   || 0
ons             | verplicht       | 8.82487487793   <-> 9.87298202515   || 0
verplicht       | Henry           | 13.4055366516   <-> 14.1774816513   || 0
Henry           | <UNK>           | 2.19589543343   <-> 1.74325418472   || 1
<UNK>           | te              | 3.19556450844   <-> 2.82620930672   || 1
te              | citeren         | 8.28924465179   <-> 8.24481582642   || 1
citeren         | die             | 4.58258152008   <-> 4.28146886826   || 1
die             | de              | 2.38706731796   <-> 2.56603431702   || 0
de              | <UNK>           | 1.8811314106    <-> 2.00734734535   || 0
<UNK>           | omschreef       | 10.3745269775   <-> 9.75870990753   || 1
omschreef       | als             | 4.63240146637   <-> 4.55611467361   || 1
als             | de              | 1.87630403042   <-> 1.63706088066   || 1
de              | dunne           | 10.4722337723   <-> 10.9821872711   || 0
dunne           | strook          | 9.44408988953   <-> 9.23787021637   || 1
strook          | <UNK>           | 2.41910362244   <-> 3.27763605118   || 0
<UNK>           | gras            | 11.5667362213   <-> 11.1353292465   || 1
gras            | die             | 3.89505195618   <-> 4.28106117249   || 0
die             | de              | 2.53268861771   <-> 2.5175306797    || 1
de              | scheiding       | 8.89010620117   <-> 9.2142162323    || 0
scheiding       | vormt           | 7.15167379379   <-> 6.62134361267   || 1
vormt           | tussen          | 4.52476978302   <-> 3.73673963547   || 1
tussen          | twee            | 4.60722923279   <-> 4.5113568306    || 1
twee            | groepen         | 6.26883172989   <-> 5.33984375      || 1
groepen         | <UNK>           | 3.20665216446   <-> 4.28728294373   || 0
<UNK>           | die             | 3.25909233093   <-> 4.19628810883   || 0
die             | in              | 2.90867066383   <-> 2.89497327805   || 1
in              | the             | 8.35922431946   <-> 8.6629743576    || 0
the             | <UNK>           | 1.10782575607   <-> 0.972545564175  || 1
<UNK>           | naar            | 5.66096448898   <-> 6.19853973389   || 0
naar            | de              | 1.33299958706   <-> 1.61163043976   || 0
de              | bal             | 8.92864990234   <-> 9.48214244843   || 0
bal             | aan             | 5.65813493729   <-> 5.91168403625   || 0
aan             | het             | 2.20291233063   <-> 2.24629878998   || 0
het             | zoeken          | 7.30808448792   <-> 7.16509056091   || 1
zoeken          | zijn            | 3.38778734207   <-> 4.37651252747   || 0
zijn            | </s>            | 1.50609719753   <-> 1.07193756104   || 1
<s>             | <UNK>           | 2.90639543533   <-> 2.89242649078   || 1
<UNK>           | had             | 5.83817863464   <-> 5.29530191422   || 1
had             | wel             | 5.14448451996   <-> 5.15726661682   || 0
wel             | vaker           | 6.80315494537   <-> 7.69839382172   || 0
vaker           | een             | 2.51197862625   <-> 2.36477446556   || 1
een             | scherpe         | 8.13245582581   <-> 7.96331119537   || 1
scherpe         | definitie       | 9.38025093079   <-> 9.08637428284   || 1
definitie       | in              | 3.02225542068   <-> 3.08006930351   || 0
in              | huis            | 5.82412242889   <-> 6.11176776886   || 0
huis            | </s>            | 1.18883371353   <-> 1.01929414272   || 1
<s>             | bijvoorbeeld    | 8.29383659363   <-> 7.95604896545   || 1
bijvoorbeeld    | voor            | 4.17014980316   <-> 4.27776861191   || 0
voor            | een             | 2.26553821564   <-> 1.95166695118   || 1
een             | hole            | 12.88585186     <-> 13.5881910324   || 0
hole            | in              | 3.12068510056   <-> 2.59892439842   || 1
in              | one             | 12.6078929901   <-> 12.8657836914   || 0
one             | </s>            | 3.32478380203   <-> 3.29008126259   || 1
<s>             | bij             | 5.25429725647   <-> 4.98114967346   || 1
bij             | een             | 2.46605324745   <-> 2.09043383598   || 1
een             | <UNK>           | 1.57379615307   <-> 1.83599543571   || 0
<UNK>           | wordt           | 5.02524518967   <-> 4.72117376328   || 1
wordt           | de              | 1.88117599487   <-> 2.08222675323   || 0
de              | bal             | 8.33062458038   <-> 7.64753627777   || 1
bal             | in              | 2.81546998024   <-> 2.83176875114   || 0
in              | één           | 5.95219278336   <-> 5.93310832977   || 1
één           | slag            | 9.7473449707    <-> 9.63570213318   || 1
slag            | vanop           | 9.7206697464    <-> 8.49061489105   || 1
vanop           | de              | 1.16033291817   <-> 1.22148644924   || 0
de              | thee            | 9.82545471191   <-> 9.25212192535   || 1
thee            | tot             | 5.83181190491   <-> 7.03727245331   || 0
tot             | in              | 4.91679286957   <-> 4.77568817139   || 1
in              | de              | 1.27644383907   <-> 1.240208745     || 1
de              | hole            | 13.4122457504   <-> 12.7046470642   || 1
hole            | geslagen        | 6.40527057648   <-> 5.9664683342    || 1
geslagen        | door            | 3.45403981209   <-> 3.40988063812   || 1
door            | een             | 2.1457285881    <-> 2.07344007492   || 1
een             | <UNK>           | 1.50072658062   <-> 1.69495522976   || 0
<UNK>           | die             | 3.18632602692   <-> 3.31853294373   || 0
die             | helemaal        | 7.14932727814   <-> 7.35495138168   || 0
helemaal        | alleen          | 5.24935293198   <-> 5.90517139435   || 0
alleen          | op              | 3.47723722458   <-> 3.49611592293   || 0
op              | de              | 1.37789404392   <-> 1.2164260149    || 1
de              | baan            | 6.9673743248    <-> 6.95587110519   || 1
baan            | staat           | 4.79076099396   <-> 3.83733558655   || 1
staat           | </s>            | 0.50519400835   <-> 0.377433776855  || 1
<s>             | door            | 5.6951842308    <-> 5.53851795197   || 1
door            | de              | 1.14607286453   <-> 1.09777235985   || 1
de              | wind            | 7.78312110901   <-> 7.35428571701   || 1
wind            | en              | 2.87527370453   <-> 3.10017561913   || 0
en              | het             | 2.66349506378   <-> 2.37425422668   || 1
het             | hoge            | 8.10225105286   <-> 7.20537853241   || 1
hoge            | gras            | 7.24607610703   <-> 6.40824604034   || 1
