input           | target          | original0       <-> cbow_mean_soft0 || best model: 0:first, 1:second
weggegooid      | en              | 2.76964116096   <-> 2.60945463181   || 1
en              | zich            | 6.67315387726   <-> 6.86831283569   || 0
zich            | terstond        | 13.2455787659   <-> 11.8684139252   || 1
terstond        | weer            | 5.99062919617   <-> 4.67936944962   || 1
weer            | in              | 2.71032595634   <-> 2.74403548241   || 0
in              | de              | 1.20163428783   <-> 1.22170829773   || 0
de              | alcohol         | 11.179391861    <-> 11.779340744    || 0
alcohol         | gestort         | 9.17413520813   <-> 8.63241958618   || 1
gestort         | </s>            | 0.469201505184  <-> 0.221809133887  || 1
<s>             | dat             | 3.70544958115   <-> 4.03011131287   || 0
dat             | had             | 4.63870859146   <-> 4.01474380493   || 1
had             | hij             | 3.35797905922   <-> 3.0544397831    || 1
hij             | twee            | 6.03601646423   <-> 6.64172506332   || 0
twee            | jaar            | 2.85258340836   <-> 2.23029541969   || 1
jaar            | eerder          | 5.08613109589   <-> 5.09385490417   || 0
eerder          | al              | 4.41665267944   <-> 4.01856994629   || 1
al              | eens            | 4.56355571747   <-> 4.08236503601   || 1
eens            | gedaan          | 5.97068786621   <-> 5.6609544754    || 1
gedaan          | op              | 3.57027339935   <-> 3.60644626617   || 0
op              | de              | 1.12710571289   <-> 1.2293806076    || 0
de              | US              | 8.02199363708   <-> 7.06168174744   || 1
US              | Open            | 0.817067027092  <-> 0.129748657346  || 1
Open            | toen            | 6.73335838318   <-> 5.71474790573   || 1
toen            | hij             | 1.92379558086   <-> 1.8073476553    || 1
hij             | na              | 4.61553049088   <-> 4.67319393158   || 0
na              | negen           | 5.86629295349   <-> 6.98649978638   || 0
negen           | holes           | 13.4006576538   <-> 12.2398118973   || 1
holes           | in              | 2.73609089851   <-> 2.8659825325    || 0
in              | de              | 1.19641244411   <-> 1.30534934998   || 0
de              | slotronde       | 9.38925743103   <-> 7.7324552536    || 1
slotronde       | het             | 5.64243364334   <-> 5.71185684204   || 0
het             | plotseling      | 12.2497739792   <-> 10.8677520752   || 1
plotseling      | op              | 3.59473252296   <-> 3.72996664047   || 0
op              | zijn            | 3.44123911858   <-> 3.2027566433    || 1
zijn            | heupen          | 8.05234146118   <-> 6.77776145935   || 1
heupen          | kreeg           | 4.99508619308   <-> 4.52705669403   || 1
kreeg           | tussen          | 7.45059394836   <-> 8.34753990173   || 0
tussen          | de              | 1.25514781475   <-> 1.33852362633   || 0
de              | toeschouwers    | 8.12576675415   <-> 7.46868085861   || 1
toeschouwers    | stapte          | 10.6770544052   <-> 9.38981151581   || 1
stapte          | en              | 4.13554525375   <-> 2.77460336685   || 1
en              | verdween        | 8.84370613098   <-> 8.10465240479   || 1
verdween        | </s>            | 2.45008111      <-> 2.48146343231   || 0
<s>             | zonder          | 7.13260555267   <-> 6.9159412384    || 1
zonder          | zijn            | 4.36504364014   <-> 4.13865089417   || 1
zijn            | <UNK>           | 2.29590773582   <-> 2.2108464241    || 1
<UNK>           | of              | 6.20846939087   <-> 5.45298242569   || 1
of              | <UNK>           | 2.06059241295   <-> 1.93548250198   || 1
<UNK>           | te              | 5.96111249924   <-> 4.65261793137   || 1
te              | verwittigen     | 9.00835704803   <-> 8.34450054169   || 1
verwittigen     | </s>            | 2.41467428207   <-> 1.41560935974   || 1
<s>             | dit             | 5.5494222641    <-> 5.55049133301   || 0
dit             | jaar            | 2.16524124146   <-> 2.33797597885   || 0
jaar            | was             | 2.79470610619   <-> 2.26932954788   || 1
was             | <UNK>           | 3.63710641861   <-> 3.99584531784   || 0
<UNK>           | het             | 4.06024217606   <-> 3.75896525383   || 1
het             | toernooi        | 8.23644447327   <-> 8.5564250946    || 0
toernooi        | nochtans        | 8.56636619568   <-> 8.10943508148   || 1
nochtans        | schitterend     | 8.45496749878   <-> 8.81915092468   || 0
schitterend     | begonnen        | 7.94140768051   <-> 7.91754055023   || 1
begonnen        | met             | 2.83849453926   <-> 2.36992359161   || 1
met             | een             | 1.95400249958   <-> 1.91914749146   || 1
een             | eerste          | 5.42828273773   <-> 5.43997097015   || 0
eerste          | rondje          | 9.92756557465   <-> 9.28135681152   || 1
rondje          | van             | 3.35958623886   <-> 2.81268167496   || 1
van             | acht-en         | 6.01787948608   <-> 6.19509410858   || 0
acht-en         | zestig          | 2.63707613945   <-> 2.70504426956   || 0
zestig          | komma           | 2.1718890667    <-> 1.88241326809   || 1
komma           | dat             | 7.54827976227   <-> 8.02374267578   || 0
dat             | hem             | 6.94530773163   <-> 5.78073120117   || 1
hem             | op              | 3.30670285225   <-> 3.34765625      || 0
op              | een             | 2.40161561966   <-> 2.28599452972   || 1
een             | gedeelde        | 8.30743408203   <-> 7.37307357788   || 1
gedeelde        | tweede          | 5.43422031403   <-> 4.88885116577   || 1
tweede          | plaats          | 2.0308740139    <-> 2.05501723289   || 0
plaats          | zette           | 6.96418142319   <-> 5.11961269379   || 1
zette           | </s>            | 0.796964049339  <-> 0.649732768536  || 1
<s>             | maar            | 3.76087236404   <-> 3.61434459686   || 1
maar            | de              | 2.14035844803   <-> 2.15606188774   || 0
de              | duivel          | 9.02611160278   <-> 9.02959632874   || 0
duivel          | in              | 3.59806060791   <-> 3.81123232841   || 0
in              | <UNK>           | 3.1387348175    <-> 2.97314739227   || 1
<UNK>           | won             | 6.14194631577   <-> 5.74767303467   || 1
won             | het             | 3.156686306     <-> 3.30625462532   || 0
het             | alweer          | 8.36387062073   <-> 7.83050251007   || 1
alweer          | van             | 3.59490799904   <-> 3.34247374535   || 1
van             | de              | 1.32003092766   <-> 1.28751587868   || 1
de              | <UNK>           | 1.98868763447   <-> 1.87276983261   || 1
<UNK>           | </s>            | 1.33872210979   <-> 1.23655617237   || 1
<s>             | de              | 2.00110268593   <-> 1.9868863821    || 1
de              | gevolgen        | 8.20273303986   <-> 8.20281791687   || 0
gevolgen        | vallen          | 9.52041435242   <-> 9.17252349854   || 1
vallen          | te              | 5.16244792938   <-> 5.0296754837    || 1
te              | vrezen          | 6.37964439392   <-> 6.8054599762    || 0
vrezen          | </s>            | 1.68658804893   <-> 1.04708456993   || 1
<s>             | <UNK>           | 3.1323928833    <-> 3.1088540554    || 1
<UNK>           | is              | 2.98159265518   <-> 3.79772686958   || 0
is              | een             | 2.20568203926   <-> 2.19883441925   || 1
een             | van             | 4.12040758133   <-> 3.74807953835   || 1
van             | de              | 0.998846650124  <-> 0.788435041904  || 1
de              | mensen          | 5.94794940948   <-> 7.03749704361   || 0
mensen          | die             | 2.30047369003   <-> 1.26909303665   || 1
die             | als             | 4.98390102386   <-> 5.35214328766   || 0
als             | hen             | 7.39212036133   <-> 8.28400230408   || 0
hen             | naar            | 5.28978729248   <-> 5.03791189194   || 1
naar            | hun             | 4.35319137573   <-> 3.96051645279   || 1
hun             | favoriete       | 6.40983724594   <-> 6.10239219666   || 1
favoriete       | drankje         | 11.2686653137   <-> 10.9353113174   || 1
drankje         | gevraagd        | 9.61144542694   <-> 9.21175861359   || 1
gevraagd        | wordt           | 4.22883987427   <-> 4.05511856079   || 1
wordt           | antwoorden      | 11.578625679    <-> 12.7387180328   || 0
antwoorden      | </s>            | 0.862090110779  <-> 0.743761777878  || 1
<s>             | het             | 2.82423329353   <-> 2.75557613373   || 1
het             | volgende        | 7.91867923737   <-> 8.20301628113   || 0
volgende        | </s>            | 7.02268981934   <-> 6.42035484314   || 1
<s>             | de              | 2.04708909988   <-> 1.87359905243   || 1
de              | </s>            | 10.555352211    <-> 10.0362548828   || 1
<s>             | Amerikaan       | 11.3875141144   <-> 11.2083978653   || 1
Amerikaan       | <UNK>           | 2.37804865837   <-> 2.14190006256   || 1
<UNK>           | <UNK>           | 2.1738615036    <-> 1.89023470879   || 1
<UNK>           | altijd          | 8.79429912567   <-> 9.69544219971   || 0
altijd          | goed            | 5.73781204224   <-> 6.20442771912   || 0
goed            | voor            | 2.47411203384   <-> 2.33296918869   || 1
voor            | een             | 2.28314471245   <-> 2.38517713547   || 0
een             | sterke          | 6.21256542206   <-> 5.81945466995   || 1
sterke          | quote           | 12.0699768066   <-> 10.5661478043   || 1
quote           | kreeg           | 8.45156669617   <-> 8.2854681015    || 1
kreeg           | na              | 5.91745424271   <-> 6.05033731461   || 0
na              | een             | 1.7756062746    <-> 1.83758759499   || 0
een             | <UNK>           | 1.92881143093   <-> 2.53400039673   || 0
<UNK>           | in              | 2.80795526505   <-> 2.94301891327   || 0
in              | de              | 1.27075242996   <-> 1.14432120323   || 1
de              | US              | 8.72334098816   <-> 7.71352481842   || 1
US              | <UNK>           | 1.52885985374   <-> 3.91532802582   || 0
<UNK>           | een             | 3.40422534943   <-> 2.57619428635   || 1
een             | microfoon       | 9.71475982666   <-> 9.4690322876    || 1
microfoon       | onder           | 6.02407836914   <-> 5.87954330444   || 1
onder           | de              | 1.48754501343   <-> 1.54877579212   || 0
de              | neus            | 6.076628685     <-> 4.41431713104   || 1
neus            | geduwd          | 10.649936676    <-> 7.65502309799   || 1
geduwd          | en              | 2.07557988167   <-> 2.72030806541   || 0
en              | verwoordde      | 12.3588886261   <-> 12.6507396698   || 0
verwoordde      | het             | 2.68374752998   <-> 2.63889551163   || 1
het             | gevoel          | 5.59529399872   <-> 5.99173498154   || 0
gevoel          | dat             | 1.29776895046   <-> 1.05283594131   || 1
dat             | vele            | 8.52204799652   <-> 8.69734096527   || 0
vele            | <UNK>           | 2.18052053452   <-> 2.22522735596   || 0
<UNK>           | kennen          | 9.08352565765   <-> 9.9029750824    || 0
kennen          | </s>            | 1.16508376598   <-> 1.15895140171   || 1
<s>             | voor            | 4.57810688019   <-> 4.65362501144   || 0
voor            | spelers         | 9.67027854919   <-> 9.27627372742   || 1
spelers         | als             | 4.85150051117   <-> 4.44183063507   || 1
als             | ik              | 3.94577336311   <-> 4.4719786644    || 0
ik              | lijkt           | 9.25145149231   <-> 8.3774433136    || 1
