input           | target          | original0       <-> cbow_tfidf_lstm0 || best model: 0:first, 1:second
<UNK>           | had             | 7.05408573151   <-> 6.9041056633    || 1
had             | zijn            | 4.7930226326    <-> 4.71982479095   || 1
zijn            | clubs           | 9.43263626099   <-> 9.71991252899   || 0
clubs           | weggegooid      | 10.8267679214   <-> 10.8060588837   || 1
weggegooid      | en              | 2.76964116096   <-> 2.81377649307   || 0
en              | zich            | 6.67315387726   <-> 6.51846694946   || 1
zich            | terstond        | 13.2455787659   <-> 12.1813621521   || 1
terstond        | weer            | 5.99062919617   <-> 5.45046567917   || 1
weer            | in              | 2.71032595634   <-> 2.56155467033   || 1
in              | de              | 1.20163428783   <-> 1.29973042011   || 0
de              | alcohol         | 11.179391861    <-> 12.5184183121   || 0
alcohol         | gestort         | 9.17413520813   <-> 7.48945665359   || 1
gestort         | </s>            | 0.469201505184  <-> 0.359350949526  || 1
<s>             | dat             | 3.70544958115   <-> 3.79571175575   || 0
dat             | had             | 4.63870859146   <-> 4.83149957657   || 0
had             | hij             | 3.35797905922   <-> 3.59982967377   || 0
hij             | twee            | 6.03601646423   <-> 6.59759235382   || 0
twee            | jaar            | 2.85258340836   <-> 1.69149279594   || 1
jaar            | eerder          | 5.08613109589   <-> 4.45297288895   || 1
eerder          | al              | 4.41665267944   <-> 3.41910529137   || 1
al              | eens            | 4.56355571747   <-> 4.7599363327    || 0
eens            | gedaan          | 5.97068786621   <-> 4.93520355225   || 1
gedaan          | op              | 3.57027339935   <-> 3.54310894012   || 1
op              | de              | 1.12710571289   <-> 1.28583920002   || 0
de              | US              | 8.02199363708   <-> 7.39736700058   || 1
US              | Open            | 0.817067027092  <-> 0.239875942469  || 1
Open            | toen            | 6.73335838318   <-> 6.03648614883   || 1
toen            | hij             | 1.92379558086   <-> 2.13206005096   || 0
hij             | na              | 4.61553049088   <-> 4.74505329132   || 0
na              | negen           | 5.86629295349   <-> 6.2180056572    || 0
negen           | holes           | 13.4006576538   <-> 12.2783689499   || 1
holes           | in              | 2.73609089851   <-> 2.8087439537    || 0
in              | de              | 1.19641244411   <-> 1.29732179642   || 0
de              | slotronde       | 9.38925743103   <-> 8.01032733917   || 1
slotronde       | het             | 5.64243364334   <-> 6.01977443695   || 0
het             | plotseling      | 12.2497739792   <-> 11.4078559875   || 1
plotseling      | op              | 3.59473252296   <-> 3.54077553749   || 1
op              | zijn            | 3.44123911858   <-> 3.78254008293   || 0
zijn            | heupen          | 8.05234146118   <-> 7.23869419098   || 1
heupen          | kreeg           | 4.99508619308   <-> 4.52413511276   || 1
kreeg           | tussen          | 7.45059394836   <-> 8.86135196686   || 0
tussen          | de              | 1.25514781475   <-> 1.34214484692   || 0
de              | toeschouwers    | 8.12576675415   <-> 7.84395837784   || 1
toeschouwers    | stapte          | 10.6770544052   <-> 10.7293348312   || 0
stapte          | en              | 4.13554525375   <-> 3.71579551697   || 1
en              | verdween        | 8.84370613098   <-> 7.75894832611   || 1
verdween        | </s>            | 2.45008111      <-> 3.40186524391   || 0
<s>             | zonder          | 7.13260555267   <-> 6.99012565613   || 1
zonder          | zijn            | 4.36504364014   <-> 5.2100982666    || 0
zijn            | <UNK>           | 2.29590773582   <-> 1.96134305      || 1
<UNK>           | of              | 6.20846939087   <-> 5.14047431946   || 1
of              | <UNK>           | 2.06059241295   <-> 1.94133174419   || 1
<UNK>           | te              | 5.96111249924   <-> 4.54238605499   || 1
te              | verwittigen     | 9.00835704803   <-> 8.29891681671   || 1
verwittigen     | </s>            | 2.41467428207   <-> 1.97379720211   || 1
<s>             | dit             | 5.5494222641    <-> 5.26016330719   || 1
dit             | jaar            | 2.16524124146   <-> 1.90774524212   || 1
jaar            | was             | 2.79470610619   <-> 3.02463006973   || 0
was             | <UNK>           | 3.63710641861   <-> 3.98441457748   || 0
<UNK>           | het             | 4.06024217606   <-> 3.43387365341   || 1
het             | toernooi        | 8.23644447327   <-> 9.74648761749   || 0
toernooi        | nochtans        | 8.56636619568   <-> 8.85684680939   || 0
nochtans        | schitterend     | 8.45496749878   <-> 8.72943973541   || 0
schitterend     | begonnen        | 7.94140768051   <-> 7.47870779037   || 1
begonnen        | met             | 2.83849453926   <-> 3.0979642868    || 0
met             | een             | 1.95400249958   <-> 1.94004034996   || 1
een             | eerste          | 5.42828273773   <-> 5.6305270195    || 0
eerste          | rondje          | 9.92756557465   <-> 9.33389186859   || 1
rondje          | van             | 3.35958623886   <-> 3.52120447159   || 0
van             | acht-en         | 6.01787948608   <-> 6.88063287735   || 0
acht-en         | zestig          | 2.63707613945   <-> 2.8256778717    || 0
zestig          | komma           | 2.1718890667    <-> 2.28071784973   || 0
komma           | dat             | 7.54827976227   <-> 8.27568435669   || 0
dat             | hem             | 6.94530773163   <-> 6.70772504807   || 1
hem             | op              | 3.30670285225   <-> 3.56660175323   || 0
op              | een             | 2.40161561966   <-> 2.41471552849   || 0
een             | gedeelde        | 8.30743408203   <-> 7.45412731171   || 1
gedeelde        | tweede          | 5.43422031403   <-> 4.82721614838   || 1
tweede          | plaats          | 2.0308740139    <-> 2.04749488831   || 0
plaats          | zette           | 6.96418142319   <-> 6.23513507843   || 1
zette           | </s>            | 0.796964049339  <-> 0.464560955763  || 1
<s>             | maar            | 3.76087236404   <-> 3.73059105873   || 1
maar            | de              | 2.14035844803   <-> 2.17793464661   || 0
de              | duivel          | 9.02611160278   <-> 9.65452671051   || 0
duivel          | in              | 3.59806060791   <-> 3.76022148132   || 0
in              | <UNK>           | 3.1387348175    <-> 2.92219805717   || 1
<UNK>           | won             | 6.14194631577   <-> 7.60890293121   || 0
won             | het             | 3.156686306     <-> 3.33319401741   || 0
het             | alweer          | 8.36387062073   <-> 8.33405017853   || 1
alweer          | van             | 3.59490799904   <-> 3.67414021492   || 0
van             | de              | 1.32003092766   <-> 1.50692927837   || 0
de              | <UNK>           | 1.98868763447   <-> 2.02334547043   || 0
<UNK>           | </s>            | 1.33872210979   <-> 1.2736941576    || 1
<s>             | de              | 2.00110268593   <-> 1.98693776131   || 1
de              | gevolgen        | 8.20273303986   <-> 7.9986166954    || 1
gevolgen        | vallen          | 9.52041435242   <-> 8.26690387726   || 1
vallen          | te              | 5.16244792938   <-> 5.23797225952   || 0
te              | vrezen          | 6.37964439392   <-> 5.49458742142   || 1
vrezen          | </s>            | 1.68658804893   <-> 1.94195687771   || 0
<s>             | <UNK>           | 3.1323928833    <-> 3.21614193916   || 0
<UNK>           | is              | 2.98159265518   <-> 3.09769201279   || 0
is              | een             | 2.20568203926   <-> 2.15094661713   || 1
een             | van             | 4.12040758133   <-> 3.79081225395   || 1
van             | de              | 0.998846650124  <-> 0.716484725475  || 1
de              | mensen          | 5.94794940948   <-> 5.30441427231   || 1
mensen          | die             | 2.30047369003   <-> 1.61875605583   || 1
die             | als             | 4.98390102386   <-> 5.27955913544   || 0
als             | hen             | 7.39212036133   <-> 7.3659620285    || 1
hen             | naar            | 5.28978729248   <-> 5.26958560944   || 1
naar            | hun             | 4.35319137573   <-> 4.03489589691   || 1
hun             | favoriete       | 6.40983724594   <-> 6.09180355072   || 1
favoriete       | drankje         | 11.2686653137   <-> 11.5612983704   || 0
drankje         | gevraagd        | 9.61144542694   <-> 8.31293678284   || 1
gevraagd        | wordt           | 4.22883987427   <-> 2.59227514267   || 1
wordt           | antwoorden      | 11.578625679    <-> 12.6036062241   || 0
antwoorden      | </s>            | 0.862090110779  <-> 1.29638314247   || 0
<s>             | het             | 2.82423329353   <-> 2.7878203392    || 1
het             | volgende        | 7.91867923737   <-> 8.2857131958    || 0
volgende        | </s>            | 7.02268981934   <-> 7.22869491577   || 0
<s>             | de              | 2.04708909988   <-> 1.98693776131   || 1
de              | </s>            | 10.555352211    <-> 11.1346168518   || 0
<s>             | Amerikaan       | 11.3875141144   <-> 11.7160081863   || 0
Amerikaan       | <UNK>           | 2.37804865837   <-> 2.4258646965    || 0
<UNK>           | <UNK>           | 2.1738615036    <-> 1.98932135105   || 1
<UNK>           | altijd          | 8.79429912567   <-> 9.45279884338   || 0
altijd          | goed            | 5.73781204224   <-> 6.46400117874   || 0
goed            | voor            | 2.47411203384   <-> 2.96755027771   || 0
voor            | een             | 2.28314471245   <-> 2.43470144272   || 0
een             | sterke          | 6.21256542206   <-> 6.36550760269   || 0
sterke          | quote           | 12.0699768066   <-> 10.4488868713   || 1
quote           | kreeg           | 8.45156669617   <-> 7.34995365143   || 1
kreeg           | na              | 5.91745424271   <-> 6.3533782959    || 0
na              | een             | 1.7756062746    <-> 1.76803648472   || 1
een             | <UNK>           | 1.92881143093   <-> 2.44535326958   || 0
<UNK>           | in              | 2.80795526505   <-> 2.80451703072   || 1
in              | de              | 1.27075242996   <-> 1.23954248428   || 1
de              | US              | 8.72334098816   <-> 8.24038505554   || 1
US              | <UNK>           | 1.52885985374   <-> 2.75427532196   || 0
<UNK>           | een             | 3.40422534943   <-> 2.49460029602   || 1
een             | microfoon       | 9.71475982666   <-> 9.86311626434   || 0
microfoon       | onder           | 6.02407836914   <-> 5.76158094406   || 1
onder           | de              | 1.48754501343   <-> 1.48630392551   || 1
de              | neus            | 6.076628685     <-> 5.49670314789   || 1
neus            | geduwd          | 10.649936676    <-> 9.07089710236   || 1
geduwd          | en              | 2.07557988167   <-> 2.38504934311   || 0
en              | verwoordde      | 12.3588886261   <-> 12.8090524673   || 0
verwoordde      | het             | 2.68374752998   <-> 2.43219661713   || 1
het             | gevoel          | 5.59529399872   <-> 5.65638017654   || 0
gevoel          | dat             | 1.29776895046   <-> 0.865365624428  || 1
dat             | vele            | 8.52204799652   <-> 8.03079891205   || 1
vele            | <UNK>           | 2.18052053452   <-> 2.43818616867   || 0
<UNK>           | kennen          | 9.08352565765   <-> 9.23131942749   || 0
kennen          | </s>            | 1.16508376598   <-> 0.933411419392  || 1
<s>             | voor            | 4.57810688019   <-> 4.73502635956   || 0
voor            | spelers         | 9.67027854919   <-> 9.53564834595   || 1
spelers         | als             | 4.85150051117   <-> 4.88328647614   || 0
als             | ik              | 3.94577336311   <-> 4.65810537338   || 0
ik              | lijkt           | 9.25145149231   <-> 8.64645385742   || 1
